[12:23:16]	lechu2375 has connected.
[12:23:39]	lechu2375 loaded the character 'lechu2375'
[12:23:55]	lechu2375 has spawned a 'Entity [369][arccw_firearms2_ammo_556x45]'.
[12:23:56]	lechu2375 has spawned a 'Entity [370][arccw_firearms2_ammo_545x39_ap]'.
[12:23:59]	lechu2375 has spawned a 'Entity [369][arccw_firearms2_ammo_762x39]'.
[12:24:00]	lechu2375 has spawned a 'Entity [370][arccw_firearms2_ammo_762x39_ap]'.
[12:24:00]	lechu2375 has spawned a 'Entity [371][arccw_firearms2_ammo_762x51]'.
[12:24:00]	lechu2375 has spawned a 'Entity [372][arccw_firearms2_ammo_762x51_ap]'.
[12:24:01]	lechu2375 has spawned a 'Entity [376][arccw_firearms2_ammo_762x54]'.
[12:24:01]	lechu2375 has spawned a 'Entity [378][arccw_firearms2_ammo_762x54_ap]'.
[12:24:01]	lechu2375 has spawned a 'Entity [379][arccw_firearms2_ammo_762x54_sp]'.
[12:24:53]	lechu2375 has spawned a 'Entity [370][arccw_firearms2_ammo_medical_supplies]'.
[12:25:02]	lechu2375 has spawned a 'Entity [370][arccw_firearms2_ammo_127x55]'.
[12:25:20]	lechu2375 has gained 4 RU.
[12:30:24]	lechu2375 entered observer.
[12:30:32]	lechu2375 exited observer.
[12:30:38]	lechu2375 entered observer.
[12:30:40]	lechu2375 exited observer.
[12:30:41]	lechu2375 entered observer.
[12:30:47]	lechu2375 exited observer.
[12:30:53]	lechu2375 entered observer.
[12:31:02]	lechu2375 exited observer.
[12:31:18]	lechu2375 entered observer.
[12:31:27]	lechu2375 exited observer.
[12:31:28]	lechu2375 entered observer.
[12:31:37]	lechu2375 exited observer.
[12:32:37]	lechu2375 has gained 8 RU.
[12:37:33]	lechu2375 has taken 50 damage from nb_mercenary_melee.
[12:40:00]	lechu2375 has taken 25 damage from nb_mercenary.
[12:40:05]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:05]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:05]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:05]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:06]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:06]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:06]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:06]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:07]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:07]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:07]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:07]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:08]	lechu2375 entered observer.
[12:40:12]	lechu2375 exited observer.
[12:40:17]	lechu2375 has killed lechu2375.
[12:40:37]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:37]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:37]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:37]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:38]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:38]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:38]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:38]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:38]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:39]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:39]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:39]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:40]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:40]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:40]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:41]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:41]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:41]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:41]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:42]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:42]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:42]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:43]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:43]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:47]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:47]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:47]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:48]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:48]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:48]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:49]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
[12:40:49]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:49]	lechu2375 has taken 5 damage from nb_mercenary_terrorist.
[12:40:50]	lechu2375 has taken 10 damage from nb_mercenary_terrorist.
