[23:06:25]	lechu2375 has connected.
[23:06:47]	lechu2375 loaded the character 'lechu2375'
[23:06:59]	lechu2375 has spawned a 'Entity [363][ix_vendor_adv]'.
[23:07:07]	lechu2375 entered observer.
[23:10:44]	lechu2375 used command '/cityinvasion1 1 40'.
[23:11:31]	lechu2375 used command '/cityinvasion1 40 1'.
[23:14:45]	lechu2375 used command '/cityinvasion1 30 1'.
[23:19:32]	lechu2375 used command '/cityinvasion1 30 1'.
[23:20:02]	lechu2375 used command '/cityinvasion1 30 1'.
[23:21:55]	lechu2375 used command '/cityinvasion1 30 1'.
[23:24:36]	lechu2375 used command '/cityinvasion1 30 1'.
[23:25:32]	lechu2375 has gained a 'Latarka' #24704.
[23:27:47]	lechu2375 used command '/cityinvasion1 30 1'.
[23:31:28]	lechu2375 used command '/cityinvasion1 30 1'.
[23:38:05]	lechu2375 used command '/cityinvasion1 30 1'.
[23:40:00]	lechu2375 used command '/cityinvasion1 30 1'.
[23:41:59]	lechu2375 used command '/cityinvasion1 30 1'.
